Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
albatross,linear,0.002,0.02,10,0.02,100,N/A
albatross,linear,0.002,0.02,50,0.02,100,N/A
albatross,linear,0.002,0.02,10,0.02,100,N/A
albatross,linear,0.002,0.02,50,0.02,100,N/A
albatross,linear,0.002,0.02,100,0.02,100,N/A
albatross,linear,0.002,0.02,150,0.02,100,N/A
albatross,linear,0.002,0.02,200,0.02,100,N/A
albatross,sigmoid,0.002,0.02,10,0.02,100,N/A
albatross,sigmoid,0.002,0.02,50,0.02,100,N/A
albatross,sigmoid,0.002,0.02,100,0.02,100,N/A
albatross,sigmoid,0.002,0.02,150,0.02,100,N/A
albatross,sigmoid,0.002,0.02,200,0.02,100,N/A
albatross,cosine,0.002,0.02,10,0.02,100,N/A
albatross,cosine,0.002,0.02,50,0.02,100,N/A
albatross,cosine,0.002,0.02,100,0.02,100,N/A
albatross,cosine,0.002,0.02,150,0.02,100,N/A
albatross,cosine,0.002,0.02,200,0.02,100,N/A
