Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
circles,linear,0.005,0.105,10,0.05,100,tensor(1.5493)
circles,linear,0.005,0.105,50,0.05,100,tensor(2.7573)
circles,linear,0.005,0.105,100,0.05,100,tensor(3.2356)
circles,linear,0.005,0.105,150,0.05,100,tensor(3.5400)
circles,linear,0.005,0.105,200,0.05,100,tensor(3.5128)
circles,sigmoid,0.005,0.105,10,0.05,100,tensor(1.1250)
circles,sigmoid,0.005,0.105,50,0.05,100,tensor(2.7895)
circles,sigmoid,0.005,0.105,100,0.05,100,tensor(3.9669)
circles,sigmoid,0.005,0.105,150,0.05,100,tensor(1.9230)
circles,sigmoid,0.005,0.105,200,0.05,100,tensor(1.7230)
circles,cosine,0.005,0.105,10,0.05,100,tensor(1.0476)
circles,cosine,0.005,0.105,50,0.05,100,tensor(2.8072)
circles,cosine,0.005,0.105,100,0.05,100,tensor(4.1307)
circles,cosine,0.005,0.105,150,0.05,100,tensor(5.0829)
circles,cosine,0.005,0.105,200,0.05,100,tensor(2.2705)
circles,linear,0.01,0.2,100,0.1,100,N/A
circles,linear,0.005,0.1,200,0.1,100,N/A
circles,linear,0.001,0.02,10,0.1,100,N/A
circles,linear,0.001,0.02,150,0.1,100,N/A
circles,linear,0.005,0.1,50,0.1,100,N/A
circles,linear,0.001,0.02,10,0.1,100,N/A
circles,linear,0.005,0.1,200,0.1,100,N/A
circles,linear,0.001,0.02,150,0.1,100,N/A
circles,linear,0.005,0.1,50,0.1,100,N/A
circles,linear,0.01,0.2,100,0.1,100,N/A
circles,linear,0.001,0.02,10,0.1,200,N/A
circles,linear,0.005,0.1,200,0.1,200,N/A
circles,linear,0.01,0.2,100,0.1,200,N/A
circles,linear,0.001,0.02,150,0.1,200,N/A
circles,linear,0.005,0.1,50,0.1,200,N/A
circles,linear,0.005,0.1,200,0.01,100,N/A
circles,linear,0.005,0.1,50,0.01,100,N/A
circles,linear,0.01,0.2,100,0.01,100,N/A
circles,linear,0.001,0.02,10,0.01,100,N/A
circles,linear,0.001,0.02,150,0.01,100,N/A
circles,linear,0.005,0.1,50,0.01,200,N/A
circles,linear,0.005,0.1,200,0.01,200,N/A
circles,linear,0.01,0.2,100,0.01,200,N/A
circles,linear,0.001,0.02,10,0.01,200,N/A
circles,linear,0.001,0.02,150,0.01,200,N/A
circles,linear,0.005,0.1,100,0.1,100,N/A
circles,linear,0.01,0.2,10,0.1,100,N/A
circles,linear,0.01,0.2,150,0.1,100,N/A
circles,linear,0.001,0.02,50,0.1,100,N/A
circles,linear,0.001,0.02,200,0.1,100,N/A
circles,linear,0.01,0.2,10,0.1,200,N/A
circles,linear,0.005,0.1,100,0.1,200,N/A
circles,linear,0.01,0.2,150,0.1,200,N/A
circles,linear,0.001,0.02,50,0.1,200,N/A
circles,linear,0.001,0.02,200,0.1,200,N/A
circles,linear,0.01,0.2,10,0.01,100,N/A
circles,linear,0.01,0.2,150,0.01,100,N/A
circles,linear,0.005,0.1,100,0.01,100,N/A
circles,linear,0.001,0.02,200,0.01,100,N/A
circles,linear,0.001,0.02,50,0.01,100,N/A
circles,linear,0.01,0.2,10,0.01,200,N/A
circles,linear,0.01,0.2,150,0.01,200,N/A
circles,linear,0.001,0.02,200,0.01,200,N/A
circles,linear,0.001,0.02,50,0.01,200,N/A
circles,linear,0.005,0.1,100,0.01,200,N/A
circles,linear,0.01,0.2,50,0.1,100,N/A
circles,linear,0.005,0.1,10,0.1,100,N/A
circles,linear,0.01,0.2,200,0.1,100,N/A
circles,linear,0.001,0.02,100,0.1,100,N/A
circles,linear,0.005,0.1,150,0.1,100,N/A
circles,linear,0.01,0.2,50,0.1,200,N/A
circles,linear,0.001,0.02,100,0.1,200,N/A
circles,linear,0.005,0.1,10,0.1,200,N/A
circles,linear,0.01,0.2,200,0.1,200,N/A
circles,linear,0.005,0.1,150,0.1,200,N/A
circles,linear,0.01,0.2,50,0.01,100,N/A
circles,linear,0.001,0.02,100,0.01,100,N/A
circles,linear,0.005,0.1,150,0.01,100,N/A
circles,linear,0.005,0.1,10,0.01,100,N/A
circles,linear,0.01,0.2,200,0.01,100,N/A
circles,linear,0.001,0.02,100,0.01,200,N/A
circles,linear,0.01,0.2,50,0.01,200,N/A
circles,linear,0.01,0.2,200,0.01,200,N/A
circles,linear,0.005,0.1,150,0.01,200,N/A
circles,linear,0.005,0.1,10,0.01,200,N/A
circles,sigmoid,0.001,0.02,10,0.1,100,N/A
circles,sigmoid,0.001,0.02,150,0.1,100,N/A
circles,sigmoid,0.005,0.1,200,0.1,100,N/A
circles,cosine,0.005,0.1,50,0.1,100,N/A
circles,cosine,0.001,0.02,150,0.1,100,N/A
circles,sigmoid,0.01,0.2,100,0.1,100,N/A
circles,sigmoid,0.005,0.1,50,0.1,100,N/A
circles,cosine,0.001,0.02,10,0.1,100,N/A
circles,cosine,0.01,0.2,100,0.1,100,N/A
circles,cosine,0.005,0.1,200,0.1,100,N/A
circles,sigmoid,0.001,0.02,10,0.1,200,N/A
circles,sigmoid,0.005,0.1,200,0.1,200,N/A
circles,cosine,0.005,0.1,50,0.1,200,N/A
circles,sigmoid,0.001,0.02,150,0.1,200,N/A
circles,sigmoid,0.005,0.1,50,0.1,200,N/A
circles,cosine,0.001,0.02,10,0.1,200,N/A
circles,sigmoid,0.01,0.2,100,0.1,200,N/A
circles,cosine,0.001,0.02,150,0.1,200,N/A
circles,cosine,0.01,0.2,100,0.1,200,N/A
circles,cosine,0.005,0.1,200,0.1,200,N/A
circles,sigmoid,0.005,0.1,200,0.01,100,N/A
circles,sigmoid,0.001,0.02,10,0.01,100,N/A
circles,cosine,0.005,0.1,50,0.01,100,N/A
circles,cosine,0.001,0.02,10,0.01,100,N/A
circles,cosine,0.005,0.1,200,0.01,100,N/A
circles,cosine,0.01,0.2,100,0.01,100,N/A
circles,sigmoid,0.001,0.02,150,0.01,100,N/A
