Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
manycircles,linear,0.005,0.105,10,0.05,100,tensor(1.1447)
manycircles,linear,0.005,0.105,50,0.05,100,tensor(0.4918)
manycircles,linear,0.005,0.105,100,0.05,100,tensor(1.4991)
manycircles,linear,0.005,0.105,150,0.05,100,tensor(0.5313)
manycircles,linear,0.005,0.105,200,0.05,100,tensor(0.5249)
manycircles,sigmoid,0.005,0.105,10,0.05,100,tensor(0.5231)
manycircles,sigmoid,0.005,0.105,50,0.05,100,tensor(2.1113)
manycircles,sigmoid,0.005,0.105,100,0.05,100,tensor(3.5479)
manycircles,sigmoid,0.005,0.105,150,0.05,100,tensor(1.2657)
manycircles,sigmoid,0.005,0.105,200,0.05,100,tensor(2.1134)
manycircles,cosine,0.005,0.105,10,0.05,100,tensor(1.0812)
manycircles,cosine,0.005,0.105,50,0.05,100,tensor(2.5336)
manycircles,cosine,0.005,0.105,100,0.05,100,tensor(3.6584)
manycircles,cosine,0.005,0.105,150,0.05,100,tensor(1.3126)
manycircles,cosine,0.005,0.105,200,0.05,100,tensor(0.5264)
