Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
moons,linear,0.005,0.105,10,0.05,100,tensor(0.9645)
moons,linear,0.005,0.105,50,0.05,100,tensor(2.8788)
moons,linear,0.005,0.105,100,0.05,100,tensor(3.1982)
moons,linear,0.005,0.105,150,0.05,100,tensor(5.2222)
moons,linear,0.005,0.105,200,0.05,100,tensor(2.3119)
moons,sigmoid,0.005,0.105,10,0.05,100,tensor(1.0281)
moons,sigmoid,0.005,0.105,50,0.05,100,tensor(2.3313)
moons,sigmoid,0.005,0.105,100,0.05,100,tensor(3.3592)
moons,sigmoid,0.005,0.105,150,0.05,100,tensor(5.2683)
moons,sigmoid,0.005,0.105,200,0.05,100,tensor(2.1504)
moons,cosine,0.005,0.105,10,0.05,100,tensor(1.0531)
moons,cosine,0.005,0.105,50,0.05,100,tensor(2.5452)
moons,cosine,0.005,0.105,100,0.05,100,tensor(3.9807)
moons,cosine,0.005,0.105,150,0.05,100,tensor(1.8148)
moons,cosine,0.005,0.105,200,0.05,100,tensor(2.3612)
moons,linear,0.005,0.05,10,0.05,100,N/A
moons,linear,0.005,0.05,50,0.05,100,N/A
moons,linear,0.005,0.05,10,0.05,100,tensor(0.9815)
moons,linear,0.005,0.05,50,0.05,100,tensor(0.9132)
moons,linear,0.005,0.05,100,0.05,100,tensor(0.9079)
moons,linear,0.005,0.05,150,0.05,100,tensor(0.9099)
moons,linear,0.005,0.05,200,0.05,100,tensor(0.8966)
moons,sigmoid,0.005,0.05,10,0.05,100,tensor(0.9627)
moons,sigmoid,0.005,0.05,50,0.05,100,0.9128294587135315
moons,sigmoid,0.005,0.05,100,0.05,100,0.913436233997345
moons,sigmoid,0.005,0.05,150,0.05,100,0.9098089933395386
moons,sigmoid,0.005,0.05,200,0.05,100,0.9273483157157898
moons,cosine,0.005,0.05,10,0.05,100,0.9737368226051331
moons,cosine,0.005,0.05,50,0.05,100,0.920794665813446
moons,cosine,0.005,0.05,100,0.05,100,0.905051052570343
